Zone,NE Catchment 2,SW Catchment 4,SW Catchment 2,NE Catchment 3,SW Catchment 5,SW Catchment 7,Upper Lake,Lower Lake,Lower Middle Lake,Upper Middle Lake,NW Catchment,Outlet Catchment,SW Catchment 6,NE Catchment 4,SW Catchment 3,SW Catchment 1,NE Catchment 1
196500-197200,5,5,3,6,10,1,0,2,0,0,10,3,22,2,23,4,6
197200-197300,9,1,0,5,3,0,0,0,0,0,6,2,6,4,3,2,6
197300-197500,20,7,6,8,15,1,0,0,0,0,12,3,40,7,19,4,18
197500-197600,6,0,3,3,7,0,0,0,0,0,9,3,12,12,15,3,11
197600-198000,17,8,6,12,19,1,0,0,0,1,26,5,28,5,27,14,16
198000-198200,4,3,0,3,5,1,0,1,0,1,8,0,13,3,6,2,11
198200-198800,18,8,3,4,20,1,2,0,0,0,14,2,26,5,33,11,16
198800-198900,6,0,4,3,11,0,0,2,0,0,13,2,18,8,11,5,5
198900-199200,7,2,0,7,13,2,0,0,0,0,7,1,13,4,12,4,4
199200-199300,8,0,4,0,8,1,0,0,0,0,11,0,14,7,14,1,7
199300-199700,10,10,1,1,9,0,0,0,0,1,14,2,17,6,12,5,9
199700-199800,13,6,7,12,21,0,0,1,0,0,13,9,35,6,31,9,17
199800-200900,15,10,5,13,10,2,0,1,0,2,18,3,38,10,22,16,13
200900-201200,11,2,3,2,5,0,0,0,0,0,7,1,14,4,11,5,11
201200-202100,22,9,6,8,17,1,0,0,0,1,11,8,37,7,18,9,15
202100-202200,1,7,1,4,9,0,0,1,0,0,9,5,21,2,16,3,8
202200-202500,15,10,6,12,15,0,0,0,0,1,16,5,38,3,20,4,17
202500-202900,5,1,3,1,8,0,0,0,0,0,9,2,22,3,20,10,5
202900-203000,5,1,1,6,6,0,0,1,0,0,6,3,11,3,18,6,9
203000-203300,3,3,3,4,5,0,0,1,0,0,11,2,21,2,12,4,9
203300-203600,3,2,3,3,5,1,0,0,0,0,3,0,17,6,16,4,4
203600-203700,8,1,0,2,2,0,0,0,0,0,2,1,4,3,8,0,4
203700-204000,25,10,2,14,16,2,0,0,2,0,24,5,27,6,34,12,14
204000-204500,11,5,0,1,8,0,0,0,0,1,10,1,8,9,10,4,3
204500-204900,8,4,3,3,9,2,0,0,0,0,9,0,6,5,17,1,5
204900-205200,9,5,6,8,16,1,0,0,0,0,14,3,30,8,16,11,10
205200-205400,17,4,2,10,16,1,0,0,0,0,18,4,19,6,26,6,10
205400-205600,6,3,1,6,6,0,0,0,0,0,7,1,9,3,8,5,5
205600-206100,5,2,2,5,9,0,0,0,0,0,5,0,7,3,10,3,9
206100-206500,11,1,2,1,7,0,0,0,0,0,6,1,12,4,15,1,4
206500-207000,8,2,1,7,4,1,0,0,0,0,7,1,15,6,8,1,5
207000-207100,3,2,2,1,2,0,0,1,0,0,2,2,8,1,7,1,4
207100-207200,18,5,4,9,16,0,0,0,0,0,10,2,20,11,19,4,10
207200-207700,6,3,0,2,6,0,0,0,0,0,5,3,11,2,12,1,5
207700-208000,8,5,2,5,21,0,0,0,0,1,11,1,15,13,15,4,8
208000-208400,6,5,1,4,8,0,0,0,0,0,7,6,13,6,9,1,5
208400-208700,15,7,3,5,9,0,0,0,0,0,6,3,20,7,14,7,11
208700-209300,4,3,3,3,5,1,0,0,0,0,5,3,21,3,7,6,10
209300-209900,7,1,3,5,3,0,0,0,0,0,5,4,11,4,5,5,4
209900-210000,12,5,2,3,7,0,0,0,0,0,5,3,13,7,10,3,1
210000-210100,5,0,1,1,2,0,0,0,0,0,1,0,4,1,4,0,1
210100-210300,8,7,6,6,16,0,0,0,0,0,13,6,20,3,21,7,11
210300-210600,10,6,0,4,5,0,0,0,0,0,6,3,9,1,14,1,5
210600-210700,5,2,1,4,6,0,0,0,0,0,5,0,9,3,15,2,6
210700-210800,2,4,2,2,4,0,0,0,0,0,1,1,9,3,10,3,3
210800-211500,11,2,0,2,8,0,0,0,0,0,9,1,16,2,11,3,5
211500-211800,17,9,11,9,25,2,0,0,0,0,20,7,53,18,50,12,15
211800-211900,5,5,2,1,5,0,0,0,0,0,4,1,10,7,12,3,8
211900-212400,5,2,2,2,5,0,0,1,0,0,3,0,10,7,10,3,6
212400-212600,7,1,1,3,6,0,0,0,0,0,5,2,12,2,6,1,3
212600-213300,3,1,4,3,5,0,0,0,0,1,0,4,12,2,9,5,4
213300-213400,8,2,1,2,0,2,0,0,0,0,7,3,8,5,13,5,6
213400-213800,11,2,0,5,6,1,0,0,0,2,8,3,17,4,23,3,6
213800-213900,6,0,2,4,5,1,0,0,0,0,6,0,12,3,6,3,7
213900-214600,8,7,3,5,13,1,0,0,0,0,9,4,20,8,17,4,7
214600-215300,7,2,0,2,3,0,0,0,0,0,7,3,9,5,11,2,6
215300-216000,10,3,5,5,14,1,0,0,0,0,10,1,14,9,12,5,3
216000-216000,1,1,1,4,2,0,0,0,0,1,1,0,4,2,3,1,2
216000-216100,6,0,2,3,4,0,0,0,0,0,4,1,12,2,10,2,5
216100-216300,3,3,2,0,5,0,0,0,0,0,3,1,4,6,10,1,4
216300-216400,4,2,3,1,9,0,0,0,0,0,5,2,16,5,10,3,7
216400-216700,15,10,2,6,6,0,0,0,0,1,6,3,11,5,16,3,6
216700-217200,10,1,5,6,6,0,0,0,1,2,11,3,18,1,17,3,6
217200-217400,11,3,1,3,11,0,0,1,0,0,6,2,13,3,15,5,4
217400-217600,7,2,1,3,3,0,0,0,0,0,4,1,5,1,11,1,2
217600-217800,10,2,2,4,13,0,1,2,0,0,10,1,16,6,14,7,9
217800-218700,4,4,4,0,3,1,0,0,0,0,7,0,4,2,11,0,4
218700-218900,7,3,0,1,1,0,0,0,0,0,3,0,10,3,5,1,5
218900-219100,4,3,1,2,2,0,0,0,0,0,5,3,8,4,9,1,4
219100-219400,5,4,1,3,0,0,0,0,0,0,6,0,5,0,9,2,4
219400-219700,13,3,1,7,10,0,0,0,0,0,9,3,16,1,13,4,7
219700-219800,1,1,0,0,8,0,0,0,0,0,4,3,16,0,6,2,0
219800-220500,2,0,1,6,5,0,0,0,0,0,7,2,6,3,5,2,2
220500-220600,2,1,1,2,11,0,0,2,0,0,3,0,11,1,10,4,4
220600-220900,2,2,0,5,9,0,0,0,0,0,4,0,7,3,4,1,3
220900-221300,6,5,3,5,6,0,0,1,0,0,5,5,24,2,14,5,11
221300-221600,4,3,0,2,3,0,0,0,0,0,5,0,9,2,4,2,4
221600-222000,2,3,2,3,9,1,0,0,0,0,2,1,12,1,5,3,1
222000-222200,5,1,2,3,0,0,0,0,0,0,4,2,12,0,11,1,4
222200-222600,7,3,2,5,9,1,0,0,0,1,7,0,14,2,13,3,6
222600-222700,2,1,0,1,3,1,0,0,0,0,4,3,9,2,5,0,2
222700-222800,5,3,3,6,4,1,0,0,0,0,11,2,4,3,8,2,1
222800-223100,3,3,1,1,4,0,0,0,0,0,3,1,4,1,6,2,0
223100-223400,2,1,2,2,2,0,0,0,0,0,1,0,4,3,9,2,3
223400-223500,6,0,1,1,3,0,0,0,0,0,3,1,5,4,6,1,4
223500-223800,3,2,1,5,3,0,0,0,0,1,1,1,7,3,7,3,1
223800-224100,2,1,0,2,2,0,0,0,0,0,3,1,3,2,4,0,4
224100-224900,2,0,2,3,5,0,0,0,0,0,9,1,12,4,14,3,4
224900-225000,4,6,2,4,4,0,0,0,0,0,3,0,6,2,10,1,4
225000-225100,9,2,1,6,12,1,0,0,0,0,10,4,13,4,16,4,3
225100-225500,2,0,1,1,5,0,0,0,0,0,5,0,6,2,6,1,2
225500-225700,0,4,1,2,3,0,0,0,0,0,2,1,7,3,3,1,2
225700-225900,1,5,2,5,3,0,0,0,0,0,6,3,9,3,12,2,5
225900-226600,6,4,0,5,8,0,0,0,0,0,11,2,9,4,10,4,5
226600-227100,3,3,2,3,2,0,0,1,0,0,7,0,7,1,4,0,5
227100-227400,5,1,1,2,2,0,0,0,0,0,2,0,7,1,6,0,4
227400-227600,1,1,0,3,5,0,0,0,0,0,2,0,7,5,4,0,4
227600-227800,3,3,1,0,3,0,0,0,0,0,1,1,3,3,8,2,3
227800-228100,3,3,2,1,7,0,0,0,0,0,5,2,10,3,8,3,3
228100-228400,7,3,2,6,14,1,0,0,0,0,4,1,18,2,10,1,11
228400-229100,5,2,1,3,1,0,0,0,0,0,7,0,9,1,3,0,2
229100-220100,1,2,0,1,2,1,0,0,0,0,1,0,2,2,1,0,0
220100-229400,3,2,1,0,2,0,0,0,0,1,2,0,6,2,5,0,0
229400-229500,6,3,8,4,9,0,0,1,0,0,8,5,19,2,18,5,5
229500-229800,3,0,3,3,1,0,0,0,0,0,3,0,7,1,7,1,2
229800-229900,2,6,0,3,9,1,0,2,0,2,4,2,9,1,13,5,4
229900-230500,1,2,0,2,3,0,0,0,0,0,4,2,10,3,7,1,0
230500-230600,2,1,0,0,3,0,0,0,0,0,4,0,6,0,2,1,2
230600-230100,5,1,1,4,6,0,0,0,0,0,7,1,13,2,8,4,6
230100-231300,5,0,4,1,3,0,0,0,0,0,6,0,9,1,2,0,0
231300-230200,2,1,0,1,1,0,0,0,0,0,4,3,2,0,4,1,3
230200-231600,2,3,1,2,3,0,0,0,0,0,0,4,11,0,1,1,3
231600-232200,8,3,2,3,14,1,0,0,0,0,4,1,16,7,7,4,8
232200-233000,2,1,1,1,1,0,0,0,0,0,4,1,4,0,5,1,1
233000-233300,1,1,1,0,4,0,0,0,0,0,2,0,12,0,2,4,2
233300-233400,5,3,2,1,4,0,0,0,0,0,3,1,6,0,11,4,3
233400-233600,3,0,0,0,5,0,0,0,0,0,3,0,2,1,0,1,1
233600-234000,0,1,0,2,3,0,0,0,0,0,2,2,8,1,5,2,1
234000-234100,2,2,2,1,0,0,0,1,0,0,1,1,11,4,4,0,3
234100-234600,3,1,1,1,4,0,0,0,0,0,1,2,6,1,6,2,5
234600-234700,5,2,2,2,10,0,0,0,0,0,8,0,10,2,7,2,3
234700-235400,3,0,2,1,8,0,0,0,0,0,5,1,3,2,5,1,2
235400-235500,4,3,1,3,5,0,0,0,0,0,6,2,7,5,9,1,2
235500-235800,7,2,1,1,8,0,0,0,0,0,4,0,10,3,4,2,5
235800-236100,2,3,1,3,4,0,0,0,0,0,0,3,5,2,5,0,3
236100-236200,1,0,2,1,0,0,0,0,0,0,1,1,4,1,4,2,4
236200-236400,4,1,0,1,8,0,0,0,0,0,5,0,4,1,10,1,5
236400-236700,4,0,0,0,2,1,0,0,0,0,2,0,5,2,6,1,6
236700-236800,1,1,3,4,2,0,0,0,0,0,3,2,6,1,3,2,0
236800-237600,6,3,0,2,8,0,0,2,0,0,6,0,6,3,9,5,5
237600-237700,3,2,1,4,8,0,0,0,0,0,3,1,10,2,11,2,2
237700-238200,5,2,0,2,2,0,0,0,0,0,2,0,4,1,4,1,0
238200-238500,0,1,0,2,5,0,0,0,0,0,2,0,5,3,5,3,1
238500-238800,1,1,0,8,4,1,0,1,0,0,4,1,9,3,11,5,3
238800-239100,0,1,0,3,3,0,0,0,0,0,0,1,3,2,5,0,2
239100-239200,1,0,1,2,5,0,0,0,0,0,2,0,4,1,9,1,2
239200-239500,2,1,2,0,3,0,0,0,0,0,1,0,5,0,3,1,3
239500-239600,3,3,0,2,7,0,0,0,0,0,1,3,8,4,7,4,5
239600-239800,2,1,0,0,0,0,0,0,0,0,2,0,6,0,3,1,3
239800-240100,0,1,0,1,2,0,0,1,0,0,1,1,3,0,4,1,2
240100-240500,2,3,2,3,6,0,0,0,0,0,2,0,6,1,3,2,2
240500-240900,1,0,1,1,3,0,0,0,0,0,2,1,2,0,3,2,1
240900-241400,3,3,0,2,3,0,0,0,0,0,4,0,7,2,5,1,1
241400-241800,2,0,0,2,2,0,0,1,0,0,3,0,2,0,7,2,1
241800-241900,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0
241900-242100,6,4,0,10,5,1,0,0,0,0,9,1,13,4,9,4,2
242100-242300,0,1,1,0,1,0,0,0,0,0,2,1,6,2,3,0,1
242300-242500,3,3,1,2,3,0,0,0,0,0,5,2,13,4,6,3,10
242500-243000,2,2,0,1,1,0,0,0,0,0,3,0,4,1,1,0,0
243000-243100,0,2,0,1,4,0,0,1,0,1,0,0,2,0,1,1,0
243100-243500,2,1,0,2,5,0,0,0,0,0,2,1,8,4,7,0,4
243500-243600,4,4,5,2,10,0,0,0,0,0,4,2,2,4,2,2,1
243600-243900,0,1,0,1,5,0,0,0,0,0,1,0,6,0,3,0,1
243900-244400,1,4,3,1,1,0,0,0,0,1,2,0,8,4,7,1,0
244400-244800,0,1,1,1,2,1,0,0,0,0,1,0,5,1,4,3,2
244800-244900,4,1,0,0,4,0,0,0,0,0,1,3,6,1,8,1,2
244900-245500,3,1,2,0,2,0,0,0,0,0,1,0,5,2,1,0,1
245500-245600,1,0,1,0,2,0,0,0,0,0,1,0,2,1,5,1,3
245600-245800,5,4,0,3,3,0,0,0,0,0,2,0,9,0,7,2,2
245800-240100,2,1,1,0,1,0,0,0,0,0,4,0,4,0,7,0,1
240100-247100,1,0,0,2,1,0,0,0,0,0,1,0,1,0,1,1,0
247100-247500,2,0,0,2,3,0,0,0,0,0,5,1,8,2,5,1,0
247500-247600,2,2,2,3,6,0,0,0,0,0,5,2,7,1,1,4,4
247600-247800,0,0,0,3,3,0,0,0,0,0,2,0,4,1,6,1,2
247800-248100,3,4,0,6,8,0,0,0,0,0,2,1,9,0,5,1,2
248100-248200,4,1,2,0,2,0,0,0,0,0,4,2,10,1,3,1,1
248200-248500,0,2,0,0,1,0,0,0,0,0,0,1,2,1,3,0,2
248500-248900,3,3,2,4,6,0,0,0,0,0,3,1,6,2,12,2,3
248900-249400,4,1,0,3,9,0,0,0,0,0,2,0,4,0,3,2,1
249400-249500,2,1,0,2,2,0,0,0,0,0,3,0,5,4,6,2,1
249500-250000,0,0,0,7,1,0,0,0,0,0,1,1,2,2,3,0,0
250000-250200,1,0,0,1,1,0,0,0,0,0,2,0,3,1,1,0,2
250200-250400,2,1,1,1,0,0,0,0,0,0,2,0,0,1,2,1,1
250400-250700,3,0,1,2,3,0,0,0,0,0,1,0,3,1,3,2,0
250700-250100,1,1,0,0,4,0,0,0,0,0,1,0,3,1,6,2,3
250100-251000,2,0,0,1,0,0,0,0,0,0,3,0,6,1,5,1,0
251000-251100,1,1,0,1,1,0,0,0,0,0,3,1,1,0,1,1,2
251100-251700,2,1,0,0,2,0,0,0,0,0,2,0,2,0,3,1,0
251700-252000,0,4,4,1,5,0,0,1,0,0,1,0,3,0,6,3,2
252000-252100,0,0,0,1,2,0,0,0,0,0,1,0,2,0,1,0,1
252100-252400,2,1,0,1,2,0,0,0,0,0,4,0,7,1,3,1,3
252400-252600,1,1,0,1,2,0,0,0,0,0,0,1,4,1,4,1,1
252600-253300,0,0,0,4,0,0,0,0,0,1,0,1,2,1,5,1,1
253300-253400,2,1,1,0,4,0,0,0,0,0,4,0,6,0,6,0,2
253400-253600,2,0,1,1,2,0,0,0,0,0,3,0,2,0,4,2,1
253600-254000,2,1,0,1,4,0,0,0,0,1,0,1,2,1,2,0,1
254000-254300,3,1,0,0,0,0,0,0,0,1,3,1,0,0,4,0,0
254300-254500,3,1,2,0,1,0,0,0,0,0,3,0,0,0,5,0,0
254500-254600,2,1,0,2,5,0,0,0,0,0,1,1,1,1,5,1,0
254600-254700,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
254700-254800,3,0,0,1,3,0,0,0,0,0,1,0,2,0,2,1,1
254800-255200,2,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1
255200-255500,1,1,1,0,0,0,0,0,0,0,1,0,3,0,0,1,1
255500-255800,1,1,0,0,2,0,0,0,0,0,1,0,1,0,1,0,0
255800-255900,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
255900-256100,1,0,0,0,3,0,0,0,0,0,1,1,3,0,2,0,0
256100-256200,4,1,1,1,2,0,0,0,0,0,0,2,3,2,2,2,1
256200-256500,2,0,0,1,2,0,0,0,0,0,0,0,1,0,4,0,1
256500-256800,5,5,1,3,8,0,0,0,0,0,8,1,10,2,6,1,7
256800-257400,0,1,1,1,2,0,0,0,0,0,0,0,3,1,3,0,0
257400-250200,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1
250200-257700,2,0,1,2,4,0,0,0,0,0,1,0,2,1,3,0,1
257700-257800,2,3,1,1,2,0,0,0,0,0,4,1,5,3,4,1,3
257800-258400,1,0,0,0,2,0,0,0,0,0,0,0,1,1,5,0,0
258400-259000,1,4,1,1,3,0,0,0,0,0,3,0,2,0,3,2,5
259000-259100,4,0,0,0,0,1,0,0,0,0,1,0,2,1,5,0,0
259100-259600,1,0,0,1,1,0,0,0,0,0,4,0,2,0,5,1,2
259600-250300,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
250300-259700,1,2,1,3,2,0,0,0,0,0,1,1,4,2,1,1,2
259700-259900,1,0,0,0,2,0,0,0,0,0,1,0,2,0,4,2,0
259900-260900,0,2,0,0,0,0,0,0,0,0,0,0,2,1,4,1,2
260900-261000,1,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0
261000-261100,1,0,1,1,4,0,0,0,0,0,0,1,0,1,3,1,1
261100-261200,0,0,1,0,4,0,0,0,0,0,1,0,1,1,3,0,0
261200-261600,2,1,0,0,2,0,0,0,0,0,2,0,1,2,7,1,0
261600-261800,2,0,4,2,2,0,0,0,0,0,2,1,6,0,9,0,2
261800-262000,2,1,1,1,2,0,0,0,0,0,1,1,1,1,4,0,1
262000-262100,1,1,1,3,0,0,0,0,0,0,1,0,2,0,3,1,1
262100-262300,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
262300-262800,2,3,1,6,4,0,0,0,0,0,3,1,5,2,3,1,3
262800-263000,0,1,1,1,1,0,0,0,0,0,1,0,4,2,0,1,0
263000-263400,0,0,0,2,2,0,0,0,0,0,1,1,3,0,3,1,1
263400-263700,0,0,0,2,2,0,0,0,0,0,2,0,0,0,1,0,0
263700-264000,2,2,0,1,1,0,0,0,0,0,1,2,3,1,7,1,1
264000-264600,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1
264600-264800,2,1,1,0,4,0,0,0,0,0,5,1,3,1,4,1,2
264800-264900,0,0,1,0,1,0,0,0,0,0,0,1,4,0,1,2,0
264900-265200,0,1,1,1,2,0,0,0,0,0,0,0,1,0,1,0,1
265200-265500,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0
265500-265700,0,0,1,2,1,0,0,0,0,0,2,0,1,1,1,0,0
265700-265800,1,0,1,1,2,0,0,0,0,0,0,1,1,0,2,0,2
265800-265900,1,0,0,0,6,0,0,0,0,0,0,0,3,0,2,1,4
265900-266400,0,0,0,1,2,0,0,0,0,0,1,0,1,1,1,0,2
266400-266500,1,0,0,2,4,0,0,0,0,0,1,0,4,0,3,2,1
266500-267100,0,1,0,1,1,0,0,0,0,0,1,0,1,0,3,0,0
267100-267200,1,1,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0
267200-267300,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0
267300-267500,0,1,0,0,5,0,0,0,0,0,0,0,3,0,2,0,0
267500-267600,4,1,1,0,3,0,0,0,0,2,0,0,6,0,8,0,1
267600-267900,2,2,0,0,4,0,0,0,0,1,0,0,0,0,4,0,0
267900-268200,2,1,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0
268200-268400,1,0,0,0,1,0,0,0,0,0,0,0,2,1,3,1,0
268400-268500,1,1,1,1,2,0,0,0,0,0,3,0,1,2,2,0,0
268500-269100,3,3,0,0,3,0,0,0,0,0,0,1,5,0,6,0,1
269100-269700,0,3,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0
269700-270000,0,1,0,3,1,0,0,0,0,0,2,0,3,1,0,1,0
270000-270000,0,1,1,1,3,0,0,0,0,0,0,0,2,0,2,0,4
270000-270100,0,0,0,1,2,0,0,0,0,0,0,1,2,0,2,1,0
270100-270300,0,0,1,1,4,0,0,0,0,0,2,0,0,1,2,2,3
270300-270500,0,0,1,0,2,0,0,0,0,0,2,0,2,0,2,0,0
270500-270700,0,0,1,0,2,0,0,0,0,0,0,1,4,1,2,0,3
270700-270900,1,1,0,1,0,0,0,0,0,0,1,1,3,0,5,1,1
270900-271300,2,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0
271300-271800,0,0,1,1,1,0,0,0,0,0,0,0,1,0,2,0,0
271800-272000,1,3,0,0,4,0,0,0,0,0,2,0,2,2,2,1,4
272000-272300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
272300-273200,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
273200-273300,1,1,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0
273300-273600,2,0,1,0,4,0,0,0,0,0,1,0,2,1,0,1,0
273600-273700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
273700-273900,1,0,2,3,5,0,0,0,0,0,0,2,4,0,4,0,2
273900-274100,4,1,2,0,3,0,0,0,0,0,0,0,0,0,2,1,1
274100-274300,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,1
274300-274500,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
274500-274700,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0
274700-274800,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
274800-275300,1,0,0,1,3,0,0,0,0,0,0,0,3,0,2,0,1
275300-275400,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1
275400-270100,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
270100-275700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
275700-276000,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
276000-276300,1,1,1,1,0,0,0,0,0,0,0,0,1,0,3,0,1
276300-276500,1,1,3,1,4,0,0,0,0,0,2,1,8,0,6,1,2
276500-277200,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,2
277200-277400,0,2,0,0,2,0,0,0,0,0,1,0,1,0,6,3,0
277400-277800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
277800-277900,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
277900-278300,3,1,1,0,0,0,0,0,0,0,1,0,2,0,2,1,0
278300-278900,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
278900-279000,0,1,3,0,4,0,0,0,0,0,1,0,1,0,1,1,1
279000-279100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
279100-279400,1,1,1,2,1,0,0,1,0,0,1,0,1,0,2,1,1
279400-279500,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1
279500-279700,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,2
279700-280000,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0
280000-280300,1,1,1,0,2,0,0,0,0,0,0,2,2,0,1,0,1
280300-280600,1,1,1,0,4,0,0,0,0,0,0,0,2,1,1,0,2
280600-280900,0,2,1,0,0,0,0,0,0,0,1,0,4,1,2,1,0
280900-281100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
281100-281300,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
281300-281700,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,0
281700-281800,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
281800-280100,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2
280100-282400,0,1,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0
282400-282600,1,1,1,0,2,0,0,0,0,0,0,0,0,0,3,0,4
282600-280200,1,0,1,0,3,0,0,0,0,0,0,1,1,0,1,0,3
280200-283500,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1
283500-283800,2,0,1,1,2,0,0,0,0,0,0,1,0,1,3,0,1
283800-284100,1,0,0,0,3,0,0,0,0,0,0,0,3,0,2,0,2
284100-280300,0,1,1,0,2,0,0,0,0,0,1,0,2,0,1,0,0
280300-284300,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1
284300-284600,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
284600-284900,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
284900-285200,1,1,1,0,1,0,0,0,0,0,1,0,0,1,4,1,0
285200-285800,0,0,0,0,1,0,0,0,0,0,1,0,2,0,2,1,0
285800-286000,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
286000-286300,2,1,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0
286300-286400,0,0,0,1,1,0,0,0,0,0,1,0,3,0,2,0,0
286400-287000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
287000-287100,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0
287100-287500,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
287500-280400,1,0,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0
280400-287700,0,0,0,0,5,0,0,0,0,1,1,0,0,0,1,0,0
287700-288000,1,0,0,0,2,0,0,0,0,0,1,0,3,0,4,1,0
288000-288100,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
288100-288300,0,1,0,0,4,0,0,0,0,0,1,2,1,0,4,1,0
288300-288500,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0
288500-288900,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0
288900-289200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
289200-289400,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
289400-289800,1,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,1
289800-290200,2,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0
290200-290300,1,0,0,0,1,0,0,1,0,0,2,3,1,0,2,0,1
290300-290500,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
290500-290700,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
290700-290800,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
290800-291400,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
291400-290100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290100-291900,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1
291900-292000,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
292000-292500,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2
292500-292700,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1
292700-292800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
292800-293000,1,0,1,1,1,0,0,0,0,0,0,0,1,0,2,1,1
293000-293100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
293100-293300,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
293300-293600,0,1,0,1,6,0,0,0,0,0,1,0,1,0,4,1,2
293600-293800,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1
293800-294100,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
294100-294200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1
294200-294400,0,1,0,0,2,0,0,0,0,0,1,0,2,0,3,0,1
294400-294800,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0
294800-295200,0,2,0,1,1,0,0,0,0,0,0,0,2,0,3,0,0
295200-290200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
290200-295800,2,0,0,0,3,0,0,0,0,0,0,0,2,0,2,0,0
295800-296000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
